pokemon,pokemonb,avg_moves,pokemon_wins,pokemonb_wins,ties
exeggutor,porygon,11.905,989,11,0
porygon,rapidash,10.535,379,621,0
muk,porygon,13.773,960,40,0
jigglypuff,porygon,7.44,11,989,0
porygon,tangela,8.042,1000,0,0
bellsprout,porygon,3.623,0,1000,0
onix,porygon,8.09,0,1000,0
aerodactyl,dragonair,7.389,1000,0,0
aerodactyl,nidorino,6.433,1000,0,0
aerodactyl,golbat,9.526,1000,0,0
aerodactyl,electabuzz,5.745,186,814,0
aerodactyl,sandslash,11.576,1000,0,0
aerodactyl,charizard,11.08,1000,0,0
aerodactyl,ivysaur,5.852,974,26,0
aerodactyl,poliwrath,11.528,896,104,0
aerodactyl,mr-mime,5.607,1000,0,0
aerodactyl,omastar,8.13,13,987,0
aerodactyl,kadabra,3.299,990,10,0
aerodactyl,shellder,3.942,1000,0,0
aerodactyl,jolteon,7.645,567,433,0
aerodactyl,venomoth,6.609,1000,0,0
aerodactyl,weepinbell,4.901,1000,0,0
aerodactyl,goldeen,4.97,984,16,0
aerodactyl,exeggcute,5.941,997,3,0
aerodactyl,meowth,3.123,1000,0,0
aerodactyl,electrode,9.115,1000,0,0
aerodactyl,wigglytuff,11.747,1000,0,0
aerodactyl,kangaskhan,14.498,874,126,0
aerodactyl,eevee,5.614,1000,0,0
aerodactyl,chansey,4.289,1000,0,0
aerodactyl,grimer,7.443,1000,0,0
aerodactyl,growlithe,4.969,1000,0,0
aerodactyl,kabutops,11.917,205,795,0
aerodactyl,krabby,3.176,687,313,0
aerodactyl,charmander,3.37,1000,0,0
aerodactyl,farfetchd,5.638,1000,0,0
aerodactyl,pidgeot,10.625,1000,0,0
aerodactyl,koffing,5.68,1000,0,0
aerodactyl,vileplume,7.733,498,502,0
aerodactyl,rhydon,22.233,184,816,0
aerodactyl,machamp,8.457,438,562,0
aerodactyl,cubone,7.104,1000,0,0
aerodactyl,arcanine,12.579,999,1,0
aerodactyl,articuno,5.437,2,998,0
aerodactyl,weedle,2.245,1000,0,0
aerodactyl,nidoqueen,13.486,1000,0,0
aerodactyl,weezing,10.974,868,132,0
aerodactyl,zapdos,5.239,1,999,0
aerodactyl,machop,4.946,999,1,0
aerodactyl,hypno,11.593,965,35,0
aerodactyl,poliwhirl,7.095,934,66,0
aerodactyl,zubat,3.105,1000,0,0
aerodactyl,clefable,12.565,1000,0,0
aerodactyl,magnemite,3.228,1000,0,0
aerodactyl,golem,10.312,3,997,0
aerodactyl,venusaur,8.529,613,387,0
aerodactyl,voltorb,4.762,1000,0,0
aerodactyl,magikarp,2.154,1000,0,0
aerodactyl,machoke,7.589,884,116,0
aerodactyl,pikachu,3.591,992,8,0
aerodactyl,lickitung,11.736,1000,0,0
aerodactyl,gyarados,10.967,317,683,0
aerodactyl,persian,7.324,1000,0,0
aerodactyl,oddish,4.361,997,3,0
aerodactyl,pidgey,3.134,1000,0,0
aerodactyl,pinsir,8.406,1000,0,0
aerodactyl,raticate,6.364,1000,0,0
aerodactyl,dewgong,9.556,194,806,0
aerodactyl,nidorina,8.164,1000,0,0
aerodactyl,psyduck,4.764,976,24,0
aerodactyl,bulbasaur,3.926,1000,0,0
aerodactyl,ninetales,10.204,1000,0,0
aerodactyl,lapras,6.384,0,1000,0
aerodactyl,haunter,9.071,901,99,0
aerodactyl,charmeleon,6.439,1000,0,0
aerodactyl,blastoise,9.683,218,782,0
aerodactyl,mew,13.634,293,707,0
aerodactyl,slowbro,10.661,45,955,0
aerodactyl,tauros,11.679,993,7,0
aerodactyl,graveler,11.321,352,648,0
aerodactyl,seel,7.053,1000,0,0
aerodactyl,dragonite,15.427,972,28,0
aerodactyl,kabuto,6.828,958,42,0
aerodactyl,raichu,7.155,603,397,0
aerodactyl,mewtwo,7.869,2,998,0
aerodactyl,poliwag,3.219,1000,0,0
aerodactyl,snorlax,12.585,3,997,0
aerodactyl,dugtrio,3.57,1000,0,0
aerodactyl,nidoking,11.084,1000,0,0
aerodactyl,dodrio,7.224,1000,0,0
aerodactyl,gastly,4.825,990,10,0
aerodactyl,kingler,5.09,330,670,0
aerodactyl,vulpix,3.51,1000,0,0
aerodactyl,victreebel,7.793,937,63,0
aerodactyl,slowpoke,9.237,1000,0,0
aerodactyl,alakazam,5.263,732,268,0
aerodactyl,nidoran-f,5.042,1000,0,0
aerodactyl,fearow,7.724,1000,0,0
aerodactyl,spearow,3.04,1000,0,0
aerodactyl,ponyta,5.486,1000,0,0
aerodactyl,tentacool,3.598,1000,0,0
aerodactyl,paras,3.319,1000,0,0
aerodactyl,doduo,3.177,1000,0,0
aerodactyl,primeape,5.947,991,9,0
aerodactyl,arbok,7.804,1000,0,0
aerodactyl,parasect,5.434,1000,0,0
aerodactyl,hitmonlee,4.315,720,280,0
aerodactyl,cloyster,7.415,523,477,0
aerodactyl,squirtle,5.295,993,7,0
aerodactyl,magmar,7.381,1000,0,0
aerodactyl,wartortle,8.021,773,227,0
aerodactyl,geodude,8.482,866,134,0
aerodactyl,seaking,8.678,651,349,0
aerodactyl,nidoran-m,3.688,1000,0,0
aerodactyl,rattata,2.215,1000,0,0
aerodactyl,moltres,11.216,323,677,0
aerodactyl,hitmonchan,6.128,878,122,0
aerodactyl,clefairy,6.814,1000,0,0
aerodactyl,pidgeotto,6.517,1000,0,0
aerodactyl,jynx,5.139,876,124,0
aerodactyl,mankey,2.834,1000,0,0
aerodactyl,starmie,8.778,791,209,0
aerodactyl,drowzee,5.85,1000,0,0
aerodactyl,gloom,6.133,921,79,0
aerodactyl,magneton,7.961,972,28,0
aerodactyl,venonat,4.85,1000,0,0
aerodactyl,dratini,3.738,1000,0,0
aerodactyl,scyther,8.162,1000,0,0
aerodactyl,golduck,8.989,506,494,0
aerodactyl,vaporeon,9.686,207,793,0
aerodactyl,caterpie,2.407,1000,0,0
aerodactyl,beedrill,4.872,1000,0,0
aerodactyl,marowak,10.469,1000,0,0
aerodactyl,rhyhorn,16.277,1000,0,0
aerodactyl,gengar,12.41,595,405,0
aerodactyl,seadra,5.222,227,773,0
aerodactyl,flareon,8.084,1000,0,0
aerodactyl,staryu,3.2,983,17,0
aerodactyl,sandshrew,5.807,1000,0,0
aerodactyl,omanyte,7.911,544,456,0
aerodactyl,horsea,3.299,955,45,0
aerodactyl,butterfree,5.128,1000,0,0
aerodactyl,diglett,1.495,1000,0,0
aerodactyl,tentacruel,9.15,679,321,0
aerodactyl,ekans,3.304,1000,0,0
aerodactyl,exeggutor,11.06,1000,0,0
aerodactyl,rapidash,8.428,1000,0,0
aerodactyl,muk,14.441,1000,0,0
aerodactyl,jigglypuff,4.948,1000,0,0
aerodactyl,tangela,7.782,1000,0,0
aerodactyl,bellsprout,2.85,1000,0,0
aerodactyl,onix,11.465,993,7,0
dragonair,nidorino,11.674,871,129,0
dragonair,golbat,10.25,51,949,0
dragonair,electabuzz,12.653,450,550,0
dragonair,sandslash,11.883,243,757,0
charizard,dragonair,14.049,830,170,0
dragonair,ivysaur,13.551,718,282,0
dragonair,poliwrath,12.939,13,987,0
dragonair,mr-mime,9.81,503,497,0
dragonair,omastar,12.502,0,1000,0
dragonair,kadabra,4.873,383,617,0
dragonair,shellder,6.007,903,97,0
dragonair,jolteon,12.159,306,694,0
dragonair,venomoth,10.359,153,847,0
dragonair,weepinbell,10.446,804,196,0
dragonair,goldeen,8.672,946,54,0
dragonair,exeggcute,11.001,767,233,0
dragonair,meowth,6.26,975,25,0
dragonair,electrode,9.877,236,764,0
dragonair,wigglytuff,11.294,9,991,0
dragonair,kangaskhan,7.841,0,1000,0
dragonair,eevee,9.957,746,254,0
chansey,dragonair,11.56,10,990,0
dragonair,grimer,13.255,817,183,0
dragonair,growlithe,9.432,906,94,0
dragonair,kabutops,12.108,1,999,0
dragonair,krabby,5.714,827,173,0
charmander,dragonair,7.163,4,996,0
dragonair,farfetchd,6.892,187,813,0
dragonair,pidgeot,11.351,68,932,0
dragonair,koffing,6.778,543,457,0
dragonair,vileplume,8.812,7,993,0
dragonair,rhydon,7.631,0,1000,0
dragonair,machamp,7.889,4,996,0
cubone,dragonair,9.575,396,604,0
arcanine,dragonair,10.305,987,13,0
articuno,dragonair,4.176,1000,0,0
dragonair,weedle,4.773,1000,0,0
dragonair,nidoqueen,13.99,20,980,0
dragonair,weezing,6.768,31,969,0
dragonair,zapdos,8.402,0,1000,0
dragonair,machop,8.529,639,361,0
dragonair,hypno,11.037,3,997,0
dragonair,poliwhirl,12.206,866,134,0
dragonair,zubat,6.191,996,4,0
clefable,dragonair,15.846,924,68,8
dragonair,magnemite,6.282,999,1,0
dragonair,golem,4.661,0,1000,0
dragonair,venusaur,13.243,30,970,0
dragonair,voltorb,7.621,947,53,0
dragonair,magikarp,4.486,1000,0,0
dragonair,machoke,9.396,106,894,0
dragonair,pikachu,6.263,998,2,0
dragonair,lickitung,13.603,78,922,0
dragonair,gyarados,12.556,9,991,0
dragonair,persian,9.184,178,822,0
dragonair,oddish,9.387,890,110,0
dragonair,pidgey,6.147,994,6,0
dragonair,pinsir,7.989,34,966,0
dragonair,raticate,10.438,561,439,0
dewgong,dragonair,6.473,1000,0,0
dragonair,nidorina,13.397,781,219,0
dragonair,psyduck,8.877,975,25,0
bulbasaur,dragonair,9.019,10,990,0
dragonair,ninetales,18.899,658,342,0
dragonair,lapras,7.685,0,1000,0
dragonair,haunter,13.692,0,1000,0
charmeleon,dragonair,11.799,109,891,0
blastoise,dragonair,13.204,969,31,0
dragonair,mew,7.965,0,1000,0
dragonair,slowbro,10.095,3,997,0
dragonair,tauros,7.72,14,986,0
dragonair,graveler,5.534,2,998,0
dragonair,seel,10.943,379,621,0
dragonair,dragonite,10.214,7,993,0
dragonair,kabuto,11.456,703,297,0
dragonair,raichu,13.77,967,33,0
dragonair,mewtwo,5.267,0,1000,0
dragonair,poliwag,6.648,998,2,0
dragonair,snorlax,4.964,0,1000,0
dragonair,dugtrio,5.411,434,566,0
dragonair,nidoking,10.07,38,962,0
dodrio,dragonair,7.518,870,130,0
dragonair,gastly,16.757,0,1000,0
dragonair,kingler,8.011,283,717,0
dragonair,vulpix,6.984,1000,0,0
dragonair,victreebel,13.268,239,761,0
dragonair,slowpoke,13.85,691,309,0
alakazam,dragonair,5.145,977,23,0
dragonair,nidoran-f,9.411,991,9,0
dragonair,fearow,7.531,96,904,0
dragonair,spearow,5.155,962,38,0
dragonair,ponyta,9.981,799,201,0
dragonair,tentacool,8.1,1000,0,0
dragonair,paras,6.985,837,163,0
doduo,dragonair,5.146,119,881,0
dragonair,primeape,7.832,82,918,0
arbok,dragonair,13.844,274,726,0
dragonair,parasect,8.414,52,948,0
dragonair,hitmonlee,4.47,8,992,0
cloyster,dragonair,6.995,746,254,0
dragonair,squirtle,9.889,981,19,0
dragonair,magmar,13.11,473,527,0
dragonair,wartortle,13.904,585,415,0
dragonair,geodude,6.19,177,823,0
dragonair,seaking,12.206,79,921,0
dragonair,nidoran-m,7.246,991,9,0
dragonair,rattata,4.527,991,9,0
dragonair,moltres,5.358,2,998,0
dragonair,hitmonchan,9.808,220,780,0
clefairy,dragonair,13.541,56,944,0
dragonair,pidgeotto,10.923,755,245,0
dragonair,jynx,7.766,345,655,0
dragonair,mankey,6.09,808,192,0
dragonair,starmie,16.101,757,243,0
dragonair,drowzee,12.533,834,166,0
dragonair,gloom,12.02,442,558,0
dragonair,magneton,12.726,824,176,0
dragonair,venonat,10.694,843,157,0
dragonair,dratini,7.433,975,25,0
dragonair,scyther,8.046,12,988,0
dragonair,golduck,11.913,47,953,0
dragonair,vaporeon,16.159,8,992,0
caterpie,dragonair,5.358,0,1000,0
beedrill,dragonair,8.26,778,222,0
dragonair,marowak,8.603,38,962,0
dragonair,rhyhorn,10.816,32,968,0
dragonair,gengar,12.199,0,1000,0
dragonair,seadra,10.58,736,264,0
dragonair,flareon,13.312,338,662,0
dragonair,staryu,6.636,994,6,0
dragonair,sandshrew,8.398,896,104,0
dragonair,omanyte,14.201,529,471,0
dragonair,horsea,5.855,997,3,0
butterfree,dragonair,11.118,465,535,0
diglett,dragonair,2.794,2,998,0
dragonair,tentacruel,19.101,527,473,0
dragonair,ekans,6.761,1000,0,0
dragonair,exeggutor,10.8,4,996,0
dragonair,rapidash,11.784,271,729,0
dragonair,muk,12.418,0,1000,0
dragonair,jigglypuff,9.015,664,336,0
dragonair,tangela,12.805,976,24,0
bellsprout,dragonair,6.649,6,994,0
dragonair,onix,15.893,856,144,0
golbat,nidorino,6.859,1000,0,0
electabuzz,nidorino,6.834,998,2,0
nidorino,sandslash,12.188,3,997,0
charizard,nidorino,8.662,999,1,0
ivysaur,nidorino,14.288,677,323,0
nidorino,poliwrath,8.685,0,1000,0
mr-mime,nidorino,6.637,957,43,0
nidorino,omastar,7.151,1,999,0
kadabra,nidorino,2.611,975,25,0
nidorino,shellder,11.227,970,30,0
jolteon,nidorino,7.818,932,68,0
nidorino,venomoth,5.152,0,1000,0
nidorino,weepinbell,13.673,387,613,0
goldeen,nidorino,9.776,424,576,0
exeggcute,nidorino,13.472,973,27,0
meowth,nidorino,5.703,15,985,0
electrode,nidorino,9.437,930,70,0
nidorino,wigglytuff,7.61,0,1000,0
kangaskhan,nidorino,6.963,1000,0,0
eevee,nidorino,9.19,242,758,0
chansey,nidorino,5.718,0,1000,0
grimer,nidorino,20.035,471,529,0
growlithe,nidorino,8.749,786,214,0
kabutops,nidorino,8.604,992,8,0
krabby,nidorino,6.767,813,187,0
charmander,nidorino,7.053,37,963,0
farfetchd,nidorino,6.448,981,19,0
nidorino,pidgeot,9.428,0,1000,0
koffing,nidorino,9.361,929,71,0
nidorino,vileplume,9.347,0,1000,0
nidorino,rhydon,6.737,0,1000,0
machamp,nidorino,12.367,997,3,0
cubone,nidorino,7.218,992,8,0
arcanine,nidorino,7.116,1000,0,0
articuno,nidorino,5.246,1000,0,0
nidorino,weedle,7.518,1000,0,0
nidoqueen,nidorino,13.981,1000,0,0
nidorino,weezing,7.223,0,1000,0
nidorino,zapdos,4.619,0,1000,0
machop,nidorino,14.185,256,744,0
hypno,nidorino,6.192,1000,0,0
nidorino,poliwhirl,10.549,13,987,0
nidorino,zubat,8.787,726,274,0
clefable,nidorino,11.726,1000,0,0
magnemite,nidorino,7.62,14,986,0
golem,nidorino,3.569,1000,0,0
nidorino,venusaur,11.826,0,1000,0
nidorino,voltorb,8.456,903,97,0
magikarp,nidorino,4.86,0,1000,0
machoke,nidorino,15.051,937,63,0
nidorino,pikachu,6.285,951,49,0
lickitung,nidorino,12.785,933,67,0
gyarados,nidorino,8.598,1000,0,0
nidorino,persian,8.408,171,829,0
nidorino,oddish,11.46,697,303,0
nidorino,pidgey,7.075,1000,0,0
nidorino,pinsir,7.315,0,1000,0
nidorino,raticate,9.08,502,498,0
dewgong,nidorino,8.294,1000,0,0
nidorina,nidorino,20.555,692,308,0
nidorino,psyduck,8.698,405,595,0
bulbasaur,nidorino,11.334,59,941,0
nidorino,ninetales,12.623,1,999,0
lapras,nidorino,6.256,1000,0,0
haunter,nidorino,7.591,1000,0,0
charmeleon,nidorino,10.561,737,263,0
blastoise,nidorino,7.986,1000,0,0
mew,nidorino,5.197,1000,0,0
nidorino,slowbro,5.087,0,1000,0
nidorino,tauros,6.958,0,1000,0
graveler,nidorino,4.222,999,1,0
nidorino,seel,13.894,603,397,0
dragonite,nidorino,8.602,1000,0,0
kabuto,nidorino,9.823,695,305,0
nidorino,raichu,9.687,65,935,0
mewtwo,nidorino,2.878,1000,0,0
nidorino,poliwag,7.171,976,24,0
nidorino,snorlax,4.327,0,1000,0
dugtrio,nidorino,3.787,930,70,0
nidoking,nidorino,9.851,999,1,0
dodrio,nidorino,7.099,1000,0,0
gastly,nidorino,8.952,1000,0,0
kingler,nidorino,5.33,1000,0,0
nidorino,vulpix,6.823,983,17,0
nidorino,victreebel,15.109,10,990,0
nidorino,slowpoke,9.204,0,1000,0
alakazam,nidorino,2.402,1000,0,0
nidoran-f,nidorino,15.787,16,984,0
fearow,nidorino,7.168,1000,0,0
nidorino,spearow,5.767,956,44,0
nidorino,ponyta,9.799,362,638,0
nidorino,tentacool,8.408,946,54,0
nidorino,paras,5.827,538,462,0
doduo,nidorino,6.947,277,723,0
nidorino,primeape,8.497,13,987,0
arbok,nidorino,18.83,641,359,0
nidorino,parasect,5.709,10,990,0
hitmonlee,nidorino,6.661,966,34,0
cloyster,nidorino,7.666,999,1,0
nidorino,squirtle,11.169,480,520,0
magmar,nidorino,7.255,975,25,0
nidorino,wartortle,10.477,29,971,0
geodude,nidorino,5.149,988,12,0
nidorino,seaking,9.24,1,999,0
nidoran-m,nidorino,10.316,7,993,0
nidorino,rattata,4.407,997,3,0
moltres,nidorino,4.684,1000,0,0
hitmonchan,nidorino,9.108,945,55,0
clefairy,nidorino,14.428,36,964,0
nidorino,pidgeotto,12.157,280,720,0
jynx,nidorino,8.426,482,518,0
mankey,nidorino,6.458,87,913,0
nidorino,starmie,11.148,2,998,0
drowzee,nidorino,9.019,904,96,0
gloom,nidorino,12.534,957,43,0
magneton,nidorino,12.505,875,125,0
nidorino,venonat,8.149,32,968,0
dratini,nidorino,8.513,62,938,0
nidorino,scyther,7.166,0,1000,0
golduck,nidorino,6.76,1000,0,0
nidorino,vaporeon,9.294,0,1000,0
caterpie,nidorino,7.686,0,1000,0
beedrill,nidorino,5.474,969,31,0
marowak,nidorino,5.182,1000,0,0
nidorino,rhyhorn,9.938,0,1000,0
gengar,nidorino,6.536,1000,0,0
nidorino,seadra,6.268,0,1000,0
flareon,nidorino,9.279,974,26,0
nidorino,staryu,6.736,798,202,0
nidorino,sandshrew,14.82,476,524,0
nidorino,omanyte,9.011,147,853,0
horsea,nidorino,7.482,632,368,0
butterfree,nidorino,5.363,1000,0,0
diglett,nidorino,1.943,36,964,0
nidorino,tentacruel,15.998,134,866,0
ekans,nidorino,9.57,0,1000,0
exeggutor,nidorino,8.963,1000,0,0
nidorino,rapidash,8.767,0,1000,0
muk,nidorino,15.224,1000,0,0
jigglypuff,nidorino,8.485,322,678,0
nidorino,tangela,21.543,814,186,0
bellsprout,nidorino,9.478,23,977,0
nidorino,onix,21.588,413,587,0
electabuzz,golbat,5.722,976,24,0
golbat,sandslash,15.626,309,691,0
charizard,golbat,12.81,930,70,0
golbat,ivysaur,4.607,1000,0,0
golbat,poliwrath,12.667,327,673,0
golbat,mr-mime,5.242,889,111,0
golbat,omastar,10.62,0,1000,0
golbat,kadabra,2.439,695,305,0
golbat,shellder,7.709,1000,0,0
golbat,jolteon,8.953,365,635,0
golbat,venomoth,6.229,803,197,0
golbat,weepinbell,4.093,1000,0,0
golbat,goldeen,7.158,1000,0,0
exeggcute,golbat,5.255,0,1000,0
golbat,meowth,3.97,1000,0,0
electrode,golbat,11.591,491,509,0
golbat,wigglytuff,13.143,151,849,0
golbat,kangaskhan,10.423,1,999,0
eevee,golbat,7.259,0,1000,0
chansey,golbat,3.648,0,1000,0
golbat,grimer,8.041,1000,0,0
golbat,growlithe,8.019,983,17,0
golbat,kabutops,12.731,108,892,0
golbat,krabby,6.378,796,204,0
charmander,golbat,5.705,0,1000,0
farfetchd,golbat,7.902,545,455,0
golbat,pidgeot,14.08,52,948,0
golbat,koffing,6.707,907,93,0
golbat,vileplume,6.712,1000,0,0
golbat,rhydon,9.659,0,1000,0
golbat,machamp,14.766,982,18,0
cubone,golbat,10.965,0,1000,0
arcanine,golbat,10.633,1000,0,0
articuno,golbat,5.053,1000,0,0
golbat,weedle,2.299,1000,0,0
golbat,nidoqueen,14.061,872,128,0
golbat,weezing,9.147,253,747,0
golbat,zapdos,4.514,0,1000,0
golbat,machop,8.153,1000,0,0
golbat,hypno,8.566,321,679,0
golbat,poliwhirl,10.892,965,35,0
golbat,zubat,4.036,1000,0,0
clefable,golbat,17.064,259,741,0
golbat,magnemite,4.793,997,3,0
golbat,golem,6.596,0,1000,0
golbat,venusaur,7.305,1000,0,0
golbat,voltorb,6.872,1000,0,0
golbat,magikarp,3.294,1000,0,0
golbat,machoke,11.727,1000,0,0
golbat,pikachu,4.876,968,32,0
golbat,lickitung,15.906,615,385,0
golbat,gyarados,13.285,27,973,0
golbat,persian,9.623,700,300,0
golbat,oddish,3.245,1000,0,0
golbat,pidgey,5.482,1000,0,0
golbat,pinsir,9.419,312,688,0
golbat,raticate,8.553,974,26,0
dewgong,golbat,8.149,997,3,0
golbat,nidorina,8.921,1000,0,0
golbat,psyduck,6.253,997,3,0
bulbasaur,golbat,3.03,0,1000,0
golbat,ninetales,16.376,773,227,0
golbat,lapras,7.61,0,1000,0
golbat,haunter,4.191,927,73,0
charmeleon,golbat,10.704,94,906,0
blastoise,golbat,12.372,960,40,0
golbat,mew,7.456,8,992,0
golbat,slowbro,7.178,1,999,0
golbat,tauros,10.092,22,978,0
golbat,graveler,8.309,20,980,0
golbat,seel,9.221,993,7,0
dragonite,golbat,12.597,979,21,0
golbat,kabuto,8.445,987,13,0
golbat,raichu,7.883,106,894,0
golbat,mewtwo,4.093,0,1000,0
golbat,poliwag,4.517,1000,0,0
golbat,snorlax,6.312,0,1000,0
dugtrio,golbat,4.937,0,1000,0
golbat,nidoking,11.029,722,278,0
dodrio,golbat,9.993,742,258,0
gastly,golbat,2.485,12,988,0
golbat,kingler,7.764,45,955,0
golbat,vulpix,5.226,1000,0,0
golbat,victreebel,5.968,1000,0,0
golbat,slowpoke,10.94,764,236,0
alakazam,golbat,3.277,813,187,0
golbat,nidoran-f,5.753,1000,0,0
fearow,golbat,9.527,894,106,0
golbat,spearow,4.318,1000,0,0
golbat,ponyta,8.787,982,18,0
golbat,tentacool,3.032,1000,0,0
golbat,paras,3.023,1000,0,0
doduo,golbat,5.443,5,995,0
golbat,primeape,8.464,808,192,0
arbok,golbat,7.991,0,1000,0
golbat,parasect,5.181,960,40,0
golbat,hitmonlee,6.269,957,43,0
cloyster,golbat,9.06,1000,0,0
golbat,squirtle,7.548,1000,0,0
golbat,magmar,9.564,446,554,0
golbat,wartortle,11.27,834,166,0
geodude,golbat,8.941,767,233,0
golbat,seaking,11.737,413,587,0
golbat,nidoran-m,4.129,1000,0,0
golbat,rattata,3.209,1000,0,0
golbat,moltres,6.583,0,1000,0
golbat,hitmonchan,7.355,580,420,0
clefairy,golbat,8.556,0,1000,0
golbat,pidgeotto,11.062,994,6,0
golbat,jynx,4.564,850,150,0
golbat,mankey,3.764,1000,0,0
golbat,starmie,9.341,991,9,0
